customer_id,first_name,last_name,email,phone,date_of_birth,address,income,account_status,created_date
null,John,Williams,john.williams@company.co.uk,942-390-4127,1942-02-15,"932 Elm Boulevard, Riverside",157101.16,suspended,2017-01-26
-,Emma,Brown,emma.brown+newsletter@gmail.com,706-221-3677,1957-02-03,"4362 Cedar Lane, Apt 28, Salem",156019.45,inactive,2017-02-14
null,Sarah,Smith,?,688-571-6637,2006-10-08,"7975 Cedar Lane, Clinton",204090.57,null,1990-01-01
   ,O'Brien,Miller,obrien.miller@outlook.com,896-489-5757,1959-02-01,"8362 Cedar Lane, Springfield",85650.01,active,2023-02-17
Unknown,Aline,de la Cruz,aline.de.la.cruz@mail.company.co.uk,583-344-3276,10/30/1977,"3149 Oak Avenue, Greenville",210155.91,actiive,2018-08-14
Unknown,David,Müller,david.muller@yahoo.com,583-406-5971,1956-05-05,"4416 Oak Avenue, Salem",98128.38,inactive,2022-12-14
?,Nadia,O'Brien,nadia.obrien@outlook.com,583-623-6363,1958-01-31,"4199 Pine Road, Greenville",167858.72,inactive,2022-04-22
   ,Michael,van der Berg,michael.van.der.berg+newsletter@gmail.com,615-654-1751,1993-01-03,"4057 Oak Avenue, Apt 42, Clinton",179663.90,active,2023-03-04
-,Müller,Habimana,muller.habimana@yahoo.com,443-160-7040,1999-10-30,"8648 Cedar Lane, Clinton",150907.95,suspended,2016-05-25
NaN,D'Arcy,van der Berg,darcy.van.der.berg@gmail.com,376-143-4186,473990400,"9797 Lake Shore Drive, Apt 34, Fairview",165137.17,active,2019-12-04
#N/A,THOMAS,Smith,thomas.smith+newsletter@gmail.com,787-904-5116,1969-05-10,"3720 Maple Drive, Salem",218323.06,active,2021-03-15 09:00:00
n/a,N/A Name,Johnson,n/a.name.johnson@mail.company.co.uk,991-838-0199,1991-12-10,"4546 Pine Road, Franklin",134023.34,inactive,2021-02-01
   ,Ngũgĩ,Moore,ngugi.moore@mail.company.co.uk,248-100-3487,1970-12-11,"6608 Oak Avenue, Apt 2, Clinton",238324.16,active,2023-08-09
Not Provided,Grace,Williams,grace.williams@company.co.uk,861-986-5163,1961-10-31,"693 Main Street, Apt 7, Clinton","$183,537",active,2023-01-06
-,Müller,Wilson,muller.wilson+newsletter@gmail.com,527-905-8519,2002-06-21,"4530 Oak Avenue, Fairview",54554.09,active,2019-01-16
NA,Emma,Anderson,emma.anderson@yahoo.com,566-720-9683,null,"640 Cedar Lane, Salem",224128.11,active,2018-11-22
#N/A,Samuel,Anderson,samuel.anderson@yahoo.com,492-912-5638,1959-06-27,"3840 Oak Avenue, Fairview",198732.39,inactive,2018-04-01
None,Peter,Johnson,Unknown,861-486-8531,1984-05-08,"561 Elm Boulevard, Bristol",89308.97,inactive,2022-04-10
-,John,van der Berg,john.van.der.berg@company.co.uk,n/a,1973-12-30,"9789 Maple Drive, Fairview",111295.26,active,2024-09-01
Unknown,Thomas,Davis,n/a,274-420-0680,1944-11-28,"9214 Washington Blvd, Clinton",123236.10,active,2022-10-08
TBD,Nadia,D'Angelo,nadia.dangelo@mail.company.co.uk,602-768-7586,1949-05-03,"5977 Cedar Lane, Franklin",142614.51,TRUE,2021-06-25
Not Provided,Aline,Jackson,.aline.jackson@x.com,617-730-9390,1977-04-17,"3198 Oak Avenue, Clinton",52552.35,active,2023-11-23
TBD,José,Johnson,jose.johnson@yahoo.com,457-134-3349,1940-12-31,"3131 Elm Boulevard, Greenville",223500.81,suspended,2021-03-15 09:00:00
None,Grace,Miller,grace.miller@outlook.com,749-534-7225,1980-03-17,"486 Cedar Lane, Franklin",248321.00,suspended,2021-01-01
NA,Chloe,Johnson,chloe.johnson@yahoo.com,420-501-4375,1958-11-11,"9232 Washington Blvd, Riverside",245436.16,suspended,2022-01-21
