customer_id,first_name,last_name,email,phone,date_of_birth,address,income,account_status,created_date
1001,J***,M***,j***@gmail.com,***-***-1535,1985-**-**,[MASKED ADDRESS],219285.58,active,2018-10-25
1002,C***,U***,c***@gmail.com,***-***-8785,1973-**-**,[MASKED ADDRESS],196671.06,active,2019-04-06
1003,S***,J***,s***@gmail.com,***-***-4010,1974-**-**,[MASKED ADDRESS],208123.61,inactive,2017-05-14
1004,C***,M***,c***@company.co.uk,***-***-9197,1992-**-**,[MASKED ADDRESS],36363.71,active,2016-10-17
1005,M***,d***,m***@gmail.com,***-***-8797,1997-**-**,[MASKED ADDRESS],76896.43,active,2016-03-11
1006,D***,W***,d***@gmail.com,***-***-1832,1967-**-**,[MASKED ADDRESS],140185.95,suspended,2021-03-01
1007,O***,W***,o***@yahoo.com,***-***-6118,1986-**-**,[MASKED ADDRESS],,suspended,2015-10-04
1008,M***,T***,m***@yahoo.com,***-***-7744,1982-**-**,[MASKED ADDRESS],124750.80,suspended,2022-03-31
1009,C***,B***,c***@company.co.uk,***-***-7579,1946-**-**,[MASKED ADDRESS],242714.12,active,2020-06-12
1010,J***,S***,j***@company.co.uk,***-***-9105,1983-**-**,[MASKED ADDRESS],88697.13,inactive,2021-03-15
1011,M***,M***,m***@yahoo.com,***-***-9485,1995-**-**,[MASKED ADDRESS],77419.41,suspended,2018-07-19
1012,J***,v***,j***@yahoo.com,***-***-1127,1973-**-**,[MASKED ADDRESS],170896.35,active,2024-12-23
1013,P***,W***,p***@outlook.com,***-***-0832,1977-**-**,[MASKED ADDRESS],52971.76,suspended,2021-03-15
1014,D***,J***,d***@yahoo.com,***-***-0653,1958-**-**,[MASKED ADDRESS],233522.04,active,2015-04-12
1015,T***,M***,t***@gmail.com,***-***-7711,1981-**-**,[MASKED ADDRESS],218122.94,inactive,2020-09-17
1016,N***,S***,n***@yahoo.com,***-***-1776,1971-**-**,[MASKED ADDRESS],25430.84,suspended,2021-01-14
1325,D***,W***,d***@outlook.com,***-***-4920,1999-**-**,[MASKED ADDRESS],174169.72,suspended,2019-07-22
1018,[MISSING],v***,n***@company.co.uk,***-***-7752,2006-**-**,[MASKED ADDRESS],87948.57,active,2021-03-15
1019,L***,v***,l***@company.co.uk,***-***-0090,1949-**-**,[MASKED ADDRESS],43519.27,inactive,2021-04-08
1020,L***,N***,l***@gmail.com,***-***-7777,1962-**-**,[MASKED ADDRESS],70105.99,suspended,2016-09-09
1021,D***,H***,d***@gmail.com,***-***-9569,1941-**-**,,85173.97,inactive,2023-03-29
1022,G***,T***,g***@gmail,***-***-6624,1981-**-**,[MASKED ADDRESS],166046.17,inactive,2017-12-01
1023,C***,U***,c***@company.co.uk,***-***-0317,1944-**-**,[MASKED ADDRESS],22292.05,active,2017-09-04
1024,M***,D***,m***@yahoo.com,***-***-1876,1954-**-**,[MASKED ADDRESS],183028.46,suspended,2017-09-21
1025,O***,v***,o***@company.co.uk,,1983-**-**,[MASKED ADDRESS],167857.49,suspended,2020-03-19
1026,P***,M***,p***@company.co.uk,***-***-9999,,[MASKED ADDRESS],155096.43,unknown,2015-12-17
1027,N***,M***,n***@gmail.com,***-***-3986,1992-**-**,[MASKED ADDRESS],180170.91,inactive,2023-02-02
1028,N***,M***,n***@outlook.com,***-***-9777,1949-**-**,[MASKED ADDRESS],44747.00,active,2022-10-27
1029,J***,S***,j***@company.co.uk,***-***-7827,1945-**-**,[MASKED ADDRESS],35017.51,suspended,2021-10-19
1030,M***,D***,m***@company.co.uk,***-***-9988,1948-**-**,[MASKED ADDRESS],144718.18,inactive,2021-08-29
1031,T***,D***,t***@outlook.com,***-***-3241,1988-**-**,[MASKED ADDRESS],154835.35,inactive,2020-04-03
1032,P***,M***,p***@company.co.uk,***-***-0423,2000-**-**,[MASKED ADDRESS],125567.69,inactive,2021-07-25
1033,M***,H***,m***@yahoo.com,***-***-4722,1975-**-**,[MASKED ADDRESS],242993.41,suspended,2021-03-15
1034,T***,N***,t***@company.co.uk,***-***-8998,1965-**-**,[MASKED ADDRESS],181798.96,active,2016-01-17
1035,S***,B***,s***@outlook.com,***-***-7905,1961-**-**,[MASKED ADDRESS],47079.46,inactive,2023-11-01
1036,A***,v***,a***@yahoo.com,***-***-5446,1988-**-**,[MASKED ADDRESS],111532.15,inactive,2024-02-06
1037,D***,M***,d***@gmail.com,***-***-8617,1941-**-**,[MASKED ADDRESS],177785.58,inactive,2024-08-20
1038,D***,M***,d***,***-***-1480,1948-**-**,[MASKED ADDRESS],202093.71,inactive,2017-09-27
1039,E***,W***,e***@yahoo.com,***-***-3804,1962-**-**,[MASKED ADDRESS],237130.37,inactive,2019-10-04
1040,A***,U***,a***@company.co.uk,,1975-**-**,[MASKED ADDRESS],69077.82,active,2021-12-18
1041,D***,J***,d***@outlook.com,***-***-5352,1955-**-**,[MASKED ADDRESS],236884.14,inactive,2018-10-19
1042,M***,M***,m***@mail.company.co.uk,***-***-1479,1941-**-**,[MASKED ADDRESS],104540.99,inactive,2017-08-15
1043,N***,d***,n***@mail.company.co.uk,***-***-6689,1944-**-**,[MASKED ADDRESS],121606.28,suspended,2021-01-21
1044,D***,B***,d***@outlook.com,***-***-7264,1961-**-**,[MASKED ADDRESS],43707.53,inactive,2017-05-18
1045,J***,T***,j***@yahoo.com,***-***-3394,1960-**-**,[MASKED ADDRESS],141950.63,active,2015-04-16
1046,G***,S***,g***@company.co.uk,***-***-7802,1972-**-**,[MASKED ADDRESS],228556.65,inactive,2021-03-15
1047,N***,B***,n***@gmail.com,***-***-2430,1964-**-**,[MASKED ADDRESS],133804.50,suspended,2022-05-05
1048,D***,M***,d***@company.co.uk,***-***-6992,1962-**-**,[MASKED ADDRESS],37692.64,active,2021-07-30
1049,S***,H***,s***@outlook.com,***-***-9468,1953-**-**,[MASKED ADDRESS],80463.53,inactive,2023-08-10
1050,D***,d***,d***@outlook.com,***-***-5062,,[MASKED ADDRESS],36563.06,inactive,2018-10-28
1051,C***,v***,c***@yahoo.com,***-***-1336,1999-**-**,[MASKED ADDRESS],96115.62,suspended,2020-06-16
1052,G***,d***,g***@yahoo.com,***-***-4742,1940-**-**,[MASKED ADDRESS],146300.04,inactive,2024-08-30
1053,L***,T***,l***@company.co.uk,***-***-5321,1995-**-**,[MASKED ADDRESS],109105.71,inactive,2017-06-26
1054,M***,N***,m***@outlook.com,***-***-2419,1953-**-**,[MASKED ADDRESS],124028.97,suspended,2024-11-21
1055,O***,T***,o***@company.co.uk,***-***-0920,1946-**-**,[MASKED ADDRESS],218098.76,suspended,2019-04-24
1056,J***,v***,j***@company.co.uk,***-***-1695,1970-**-**,[MASKED ADDRESS],138156.11,inactive,2018-03-04
1057,O***,T***,o***@company.co.uk,***-***-9874,1969-**-**,[MASKED ADDRESS],45303.64,active,2019-03-23
1058,D***,N***,d***@outlook.com,***-***-3509,1983-**-**,[MASKED ADDRESS],141846.13,suspended,2023-08-05
1059,D***,d***,d***@company.co.uk,***-***-3891,1994-**-**,[MASKED ADDRESS],60593.80,suspended,2020-03-06
1060,M***,M***,m***@gmail.com,***-***-7873,1989-**-**,[MASKED ADDRESS],227746.96,inactive,2017-06-28
1061,J***,U***,j***@gmail.com,***-***-1623,1998-**-**,[MASKED ADDRESS],47616.28,inactive,2015-11-21
1062,O***,B***,o***@gmail.com,***-***-7489,1984-**-**,[MASKED ADDRESS],71532.60,suspended,2020-11-14
1063,M***,N***,m***@company.co.uk,***-***-4155,1972-**-**,[MASKED ADDRESS],46351.25,inactive,2016-12-18
1064,J***,D***,j***@company.co.uk,***-***-3268,1968-**-**,[MASKED ADDRESS],82236.06,active,2018-09-21
1065,T***,D***,t***@yahoo.com,***-***-8507,1947-**-**,[MASKED ADDRESS],92061.18,inactive,2021-03-15
1066,L***,J***,l***@gmail.com,***-***-5952,2000-**-**,[MASKED ADDRESS],197951.11,inactive,2015-05-13
1067,S***,W***,s***@company.co.uk,***-***-1858,1986-**-**,[MASKED ADDRESS],249145.80,inactive,2016-07-09
1068,L***,T***,l***@gmail.com,***-***-2852,1985-**-**,[MASKED ADDRESS],149485.19,suspended,2024-11-30
1069,J***,H***,j***@outlook.com,***-***-8476,1989-**-**,[MASKED ADDRESS],136754.00,active,2022-12-15
1070,M***,W***,m***@outlook.com,***-***-8740,1997-**-**,[MASKED ADDRESS],94340.60,active,2015-04-27
1071,M***,W***,m***@gmail.com,***-***-4745,1967-**-**,[MASKED ADDRESS],112671.11,inactive,2018-07-04
1072,S***,D***,s***@gmail.com,***-***-4382,1952-**-**,[MASKED ADDRESS],234431.61,active,2020-08-02
