customer_id,first_name,last_name,email,phone,date_of_birth,address,income,account_status,created_date
1001,John,berg,john.berg@outlook.com,359-320-5514,1942-11-07,"5882 Pine Road, Bristol",243682.20, suspended ,2021-03-15 09:00:00
1002,müller,Smith!!,.müller.smith!!@x.com,326541099,2001/04/28,"9293 Pine Road, Greenville",229918.68,dormant,None
1003,Michael,müller,michael.müller@outlook.com,203-839-4315,03/27/1974,1744 Cedar Lane,141754.07,inactive,2021-05-12 02:05:10
1004,asdf,asdf,asdf.asdf@company.co.uk,221-702-9075,0000-00-00,14117,31651.48,suspended,2020-04-21
1005,  John!! ,BERG,john!!.berg+newsletter@gmail.com,2775539016,2030-01-01,"8857 Main Street, Riverside",129125.66,inactive,2023-03-12 17:42:10
1006,JOSÉ,Johnson,jose.johnson@yahoo.com,240.734.1343,02/10/85,"8566 Pine Road, Apt 14, Bristol",71091.2,active,2017-05-23
3200.0,Michael,Smith 🙂​,Michael@yahoo.com,408-803-4325,13-09-1940,"833 Oak Avenue, Fairview","$196,213",0,2022-10-01
Unknown,David,Johnson,david.johnson @gmail.com,540-901-6745,1949-03-22,"1772 Washington Blvd, Springfield",230836.2,banned,09/03/2023
9379.0,O'Brien,Müller​,o'brien.müller​@yahoo.com,751-803-3228,1985-02-30,"5410 Pine Road, Riverside",171719.83,Inactive,43237
1010,JOHN!!,TEST,john!!.test@yahoo.com,555-CAL-LME,2006-01-09,"9432 Elm Boulevard, Fairview",169173.63,suspended,2024-07-06
0,asdf​,  der Berg ,asdf​.der@outlook.com,930-392-3841,1989-02-24,"8850 Oak Avenue, Franklin",50909.24,pending,2019-05-15
1012,J0hn ,S​,mailto:j0hn.s​@x.com,330.737.8751,11/27/2005,"445 Oak Avenue, Fairview",76136.73,pending,2020-04-10
1013,mÜlLeR,Johnson ,müller.johnson@yahoo.com,000-000-0000,1941/10/29,49529,156096.73,suspended,2019-09-17
1014,J,  XXX ,j.xxx@company.co.uk,706-971-5325,1111-11-11,"4233 Pine Road, Bristol",136407.4,active,2015-03-12
1015,iii,sMiTh!!,iii.smith!!@yahoo.com,803-5636,2003-01-21,"4854 Elm Boulevard, Clinton",140521.75,banned,2021-06-09
1016,ngũgĩ,S,ngũgĩ.s@yahoo.com,123-456-7890,1953-08-11,"1626 Elm Boulevard, Greenville",71368.32,suspended,2018-03-26 22:18:10
